model,best_cv_f1,test_f1,best_params,search_time_s,refit_time_s
Random Forest (tuned),0.9432,0.9631,"{'n_estimators': 300, 'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 20}",113.3,11.4
Gradient Boosting (tuned),0.9539,0.9735,"{'subsample': 1.0, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.2}",661.1,55.1
