model,accuracy,precision_macro,recall_macro,f1_macro
Random Forest,0.9593765142949443,0.9579761093063691,0.9594252672777378,0.9586792817966499
MLP (Keras),0.9254563075432078,0.9214807914052348,0.9251632998696012,0.9230104792064264
Gradient Boosting,0.9126150864157648,0.912437217142282,0.9091233657265756,0.9105928195733275
SVM RBF,0.8748182846066871,0.8728010208945026,0.8777881758154455,0.8740842196474882
Logistic Regression,0.7284768211920529,0.7318052249799596,0.7375372442324527,0.7327273773868177
